id,estado_final,pasos_totales,historial
PED-121,Entregado,5,Pedido Recibido -> En Preparación -> En Bodega -> En Bodega -> En Reparto -> Entregado
PED-122,Entregado,6,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-123,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-124,Devuelto,1,Pedido Recibido -> Devuelto
PED-125,Entregado,6,Pedido Recibido -> En Preparación -> En Preparación -> En Bodega -> En Bodega -> En Reparto -> Entregado
PED-126,Devuelto,1,Pedido Recibido -> Devuelto
PED-127,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-128,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-129,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-130,Entregado,5,Pedido Recibido -> En Preparación -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-131,Devuelto,5,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> Devuelto
PED-132,Entregado,5,Pedido Recibido -> En Preparación -> En Bodega -> En Bodega -> En Reparto -> Entregado
PED-133,Devuelto,1,Pedido Recibido -> Devuelto
PED-134,Entregado,5,Pedido Recibido -> En Preparación -> En Bodega -> En Bodega -> En Reparto -> Entregado
PED-135,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-136,Devuelto,1,Pedido Recibido -> Devuelto
PED-137,Devuelto,5,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> Devuelto
PED-138,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-139,Devuelto,1,Pedido Recibido -> Devuelto
PED-140,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-141,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-142,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-143,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-144,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-145,Devuelto,5,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> Devuelto
PED-146,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-147,Entregado,6,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-148,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-149,Entregado,5,Pedido Recibido -> En Preparación -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-150,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-151,Entregado,6,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-152,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-153,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-154,Devuelto,5,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> Devuelto
PED-155,Entregado,6,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-156,Entregado,6,Pedido Recibido -> En Preparación -> En Bodega -> En Bodega -> En Bodega -> En Reparto -> Entregado
PED-157,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-158,Devuelto,1,Pedido Recibido -> Devuelto
PED-159,Entregado,7,Pedido Recibido -> En Preparación -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-160,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-161,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-162,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-163,Devuelto,1,Pedido Recibido -> Devuelto
PED-164,Entregado,6,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-165,Devuelto,1,Pedido Recibido -> Devuelto
PED-166,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-167,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-168,Entregado,7,Pedido Recibido -> En Preparación -> En Preparación -> En Bodega -> En Bodega -> En Bodega -> En Reparto -> Entregado
PED-169,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-170,Devuelto,1,Pedido Recibido -> Devuelto
PED-171,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-172,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-173,Entregado,5,Pedido Recibido -> En Preparación -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-174,Entregado,5,Pedido Recibido -> En Preparación -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-175,Entregado,5,Pedido Recibido -> En Preparación -> En Bodega -> En Bodega -> En Reparto -> Entregado
PED-176,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-177,Entregado,5,Pedido Recibido -> En Preparación -> En Bodega -> En Bodega -> En Reparto -> Entregado
PED-178,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-179,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-180,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-181,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-182,Entregado,6,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-183,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-184,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-185,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-186,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-187,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-188,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-189,Entregado,7,Pedido Recibido -> En Preparación -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-190,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-191,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-192,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-193,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-194,Devuelto,1,Pedido Recibido -> Devuelto
PED-195,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-196,Devuelto,5,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> Devuelto
PED-197,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-198,Devuelto,5,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> Devuelto
PED-199,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-200,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-201,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-202,Entregado,6,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-203,Entregado,5,Pedido Recibido -> En Preparación -> En Bodega -> En Bodega -> En Reparto -> Entregado
PED-204,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-205,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-206,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-207,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-208,Entregado,5,Pedido Recibido -> En Preparación -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-209,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-210,Entregado,6,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-211,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-212,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-213,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-214,Entregado,5,Pedido Recibido -> En Preparación -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-215,Devuelto,5,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> Devuelto
PED-216,Entregado,6,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-217,Entregado,5,Pedido Recibido -> En Preparación -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-218,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-219,Devuelto,1,Pedido Recibido -> Devuelto
PED-220,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-221,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-222,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-223,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-224,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
